crm_event_id,customer_id,event_date,crm_event_type,opportunity_id,pipeline_amount,closed_won_amount,crm_metadata
1,1,2026-04-09,opportunity_created,opp_1_1,1107790,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
2,2,2026-06-24,meeting_booked,opp_2_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
3,2,2026-05-26,opportunity_created,opp_2_2,159622,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
4,2,2026-07-08,opportunity_created,opp_2_3,159622,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
5,3,2026-05-04,opportunity_created,opp_3_1,6677,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
6,3,2026-05-03,meeting_booked,opp_3_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
7,3,2026-05-25,closed_won,opp_3_3,6677,337,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
8,3,2026-04-26,closed_won,opp_3_4,6677,337,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
9,3,2026-06-11,closed_won,opp_3_5,6677,337,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
10,4,2026-07-28,opportunity_created,opp_4_1,1550808,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
11,4,2026-06-05,closed_won,opp_4_2,1550808,98393,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
12,4,2026-07-03,opportunity_created,opp_4_3,1550808,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
13,5,2026-06-05,meeting_booked,opp_5_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
14,5,2026-05-21,meeting_booked,opp_5_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
15,5,2026-05-18,meeting_booked,opp_5_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
16,5,2026-05-05,meeting_booked,opp_5_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
17,5,2026-05-06,meeting_booked,opp_5_5,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
18,6,2026-03-13,meeting_booked,opp_6_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
19,6,2026-04-25,meeting_booked,opp_6_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
20,6,2026-04-02,closed_won,opp_6_3,342201,84888,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
21,6,2026-03-23,closed_won,opp_6_4,342201,84888,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
22,6,2026-05-07,meeting_booked,opp_6_5,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
23,7,2026-06-08,meeting_booked,opp_7_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
24,7,2026-04-25,meeting_booked,opp_7_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
25,8,2026-07-05,closed_won,opp_8_1,366690,43501,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
26,8,2026-06-13,closed_won,opp_8_2,366690,43501,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
27,8,2026-07-16,closed_won,opp_8_3,366690,43501,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
28,8,2026-05-18,opportunity_created,opp_8_4,366690,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
29,8,2026-06-08,meeting_booked,opp_8_5,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
30,9,2026-07-23,closed_won,opp_9_1,1921784,293608,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
31,9,2026-05-24,closed_won,opp_9_2,1921784,293608,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
32,10,2026-05-11,closed_won,opp_10_1,157600,10817,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
33,10,2026-07-03,closed_won,opp_10_2,157600,10817,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
34,10,2026-08-08,meeting_booked,opp_10_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
35,10,2026-07-11,meeting_booked,opp_10_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
36,10,2026-07-25,opportunity_created,opp_10_5,157600,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
37,11,2026-04-03,closed_won,opp_11_1,96653,12980,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
38,11,2026-03-26,opportunity_created,opp_11_2,96653,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
39,11,2026-03-06,opportunity_created,opp_11_3,96653,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
40,11,2026-03-21,meeting_booked,opp_11_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
41,11,2026-05-13,opportunity_created,opp_11_5,96653,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
42,12,2026-04-21,closed_won,opp_12_1,2327823,401350,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
43,12,2026-04-15,meeting_booked,opp_12_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
44,12,2026-03-22,meeting_booked,opp_12_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
45,12,2026-03-10,closed_won,opp_12_4,2327823,401350,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
46,13,2026-04-13,closed_won,opp_13_1,451633,98162,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
47,13,2026-02-25,closed_won,opp_13_2,451633,98162,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
48,13,2026-03-24,meeting_booked,opp_13_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
49,13,2026-04-30,meeting_booked,opp_13_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
50,13,2026-04-30,closed_won,opp_13_5,451633,98162,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
51,14,2026-07-05,opportunity_created,opp_14_1,1209492,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
52,15,2026-05-16,closed_won,opp_15_1,102460,21302,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
53,15,2026-06-22,opportunity_created,opp_15_2,102460,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
54,15,2026-07-01,meeting_booked,opp_15_3,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
55,15,2026-05-22,opportunity_created,opp_15_4,102460,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
56,15,2026-06-10,closed_won,opp_15_5,102460,21302,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
57,16,2026-05-29,opportunity_created,opp_16_1,265855,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
58,16,2026-05-12,closed_won,opp_16_2,265855,30907,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
59,16,2026-03-31,closed_won,opp_16_3,265855,30907,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
60,16,2026-04-03,meeting_booked,opp_16_4,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""Salesforce""}"
61,17,2026-05-28,meeting_booked,opp_17_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
62,17,2026-04-11,meeting_booked,opp_17_2,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
63,17,2026-05-15,closed_won,opp_17_3,311266,38205,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
64,18,2026-05-30,meeting_booked,opp_18_1,0,0,"{""source"": ""synthetic_crm_export"", ""crm"": ""HubSpot""}"
