outcome_id,customer_id,event_date,meetings_booked,opportunities_created,pipeline_generated,closed_won_revenue,outcome_metadata
1,1,2026-03-31,119,47,1107790,128758,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
2,2,2026-07-05,68,26,478868,56161,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
3,3,2026-06-03,9,3,33387,1687,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
4,4,2026-07-12,1204,459,4652424,295180,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
5,5,2026-04-19,233,78,1197456,214559,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
6,6,2026-03-21,183,72,1711008,424440,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
7,7,2026-06-29,1110,335,6449085,1424733,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
8,8,2026-06-13,275,150,1833450,217508,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
9,9,2026-06-07,524,233,3843568,587216,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
10,10,2026-06-06,196,80,788000,54086,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
11,11,2026-03-21,85,41,483267,64904,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
12,12,2026-04-03,841,409,9311294,1605402,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
13,13,2026-03-09,172,91,2258165,490811,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
14,14,2026-05-27,216,81,1209492,141502,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
15,15,2026-05-18,138,46,512302,106512,"{""source"": ""synthetic_crm_attribution"", ""attribution_model"": ""first_touch_plus_workflow_assisted""}"
