integration_run_id,customer_id,workflow_run_id,integration_name,started_at,run_status,records_processed,integration_metadata
1,1,1,HubSpot,2026-03-07,completed,1815,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1651, ""error_code"": null}"
2,1,1,OpenAI,2026-03-07,completed,1784,"{""provider_category"": ""AI"", ""response_time_ms"": 1883, ""error_code"": null}"
3,1,1,Waterfall,2026-03-07,completed,1962,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 421, ""error_code"": null}"
4,1,1,Claygent,2026-03-07,completed,453,"{""provider_category"": ""AI"", ""response_time_ms"": 448, ""error_code"": null}"
5,1,2,HubSpot,2026-03-12,completed,2264,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 260, ""error_code"": null}"
6,1,2,LinkedIn Sales Navigator,2026-03-12,completed,432,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1168, ""error_code"": null}"
7,1,2,Claygent,2026-03-12,completed,731,"{""provider_category"": ""AI"", ""response_time_ms"": 1864, ""error_code"": null}"
8,1,2,Salesforce,2026-03-12,completed,2039,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2171, ""error_code"": null}"
9,1,3,Claygent,2026-03-20,completed,299,"{""provider_category"": ""AI"", ""response_time_ms"": 1484, ""error_code"": null}"
10,1,3,LinkedIn Sales Navigator,2026-03-20,completed,284,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 405, ""error_code"": null}"
11,1,4,LinkedIn Sales Navigator,2026-05-05,completed,2440,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2341, ""error_code"": null}"
12,1,4,Claygent,2026-05-05,completed,1345,"{""provider_category"": ""AI"", ""response_time_ms"": 1268, ""error_code"": null}"
13,1,5,LinkedIn Sales Navigator,2026-04-08,completed,1479,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 481, ""error_code"": null}"
14,1,5,Apollo,2026-04-08,completed,1050,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1713, ""error_code"": null}"
15,1,5,Claygent,2026-04-08,completed,1217,"{""provider_category"": ""AI"", ""response_time_ms"": 846, ""error_code"": null}"
16,1,6,Claygent,2026-04-06,failed,686,"{""provider_category"": ""AI"", ""response_time_ms"": 1315, ""error_code"": ""rate_limit""}"
17,1,7,HubSpot,2026-04-11,completed,1859,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2459, ""error_code"": null}"
18,1,7,Waterfall,2026-04-11,completed,1801,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2497, ""error_code"": null}"
19,1,7,Apollo,2026-04-11,completed,89,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 658, ""error_code"": null}"
20,1,7,Claygent,2026-04-11,completed,358,"{""provider_category"": ""AI"", ""response_time_ms"": 810, ""error_code"": null}"
21,1,8,HubSpot,2026-05-12,completed,683,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1169, ""error_code"": null}"
22,1,8,LinkedIn Sales Navigator,2026-05-12,completed,715,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 925, ""error_code"": null}"
23,1,8,OpenAI,2026-05-12,completed,1738,"{""provider_category"": ""AI"", ""response_time_ms"": 301, ""error_code"": null}"
24,1,9,HubSpot,2026-04-20,completed,982,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1113, ""error_code"": null}"
25,1,9,OpenAI,2026-04-20,completed,146,"{""provider_category"": ""AI"", ""response_time_ms"": 991, ""error_code"": null}"
26,1,9,Claygent,2026-04-20,completed,1682,"{""provider_category"": ""AI"", ""response_time_ms"": 1544, ""error_code"": null}"
27,2,10,LinkedIn Sales Navigator,2026-04-30,failed,745,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 547, ""error_code"": ""rate_limit""}"
28,2,10,OpenAI,2026-04-30,failed,2161,"{""provider_category"": ""AI"", ""response_time_ms"": 1572, ""error_code"": ""timeout""}"
29,2,11,Salesforce,2026-05-02,completed,1686,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1199, ""error_code"": null}"
30,2,11,HubSpot,2026-05-02,completed,654,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 222, ""error_code"": null}"
31,2,12,HubSpot,2026-04-26,failed,2339,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1499, ""error_code"": ""rate_limit""}"
32,2,12,OpenAI,2026-04-26,failed,2117,"{""provider_category"": ""AI"", ""response_time_ms"": 1947, ""error_code"": ""mapping_error""}"
33,2,13,Salesforce,2026-06-03,completed,1162,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1575, ""error_code"": null}"
34,2,13,Claygent,2026-06-03,completed,1359,"{""provider_category"": ""AI"", ""response_time_ms"": 2412, ""error_code"": null}"
35,2,14,HubSpot,2026-05-03,completed,2442,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 280, ""error_code"": null}"
36,2,14,OpenAI,2026-05-03,completed,2408,"{""provider_category"": ""AI"", ""response_time_ms"": 1758, ""error_code"": null}"
37,2,15,Apollo,2026-05-12,completed,572,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2387, ""error_code"": null}"
38,2,15,Salesforce,2026-05-12,completed,160,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1813, ""error_code"": null}"
39,2,15,OpenAI,2026-05-12,completed,2474,"{""provider_category"": ""AI"", ""response_time_ms"": 311, ""error_code"": null}"
40,2,15,Waterfall,2026-05-12,completed,393,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1955, ""error_code"": null}"
41,2,16,Claygent,2026-04-10,completed,1483,"{""provider_category"": ""AI"", ""response_time_ms"": 1118, ""error_code"": null}"
42,2,16,Salesforce,2026-04-10,completed,331,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 364, ""error_code"": null}"
43,2,16,LinkedIn Sales Navigator,2026-04-10,completed,177,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1212, ""error_code"": null}"
44,2,16,HubSpot,2026-04-10,completed,866,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 283, ""error_code"": null}"
45,2,17,HubSpot,2026-04-20,completed,1324,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 642, ""error_code"": null}"
46,2,18,Claygent,2026-06-16,failed,545,"{""provider_category"": ""AI"", ""response_time_ms"": 368, ""error_code"": ""rate_limit""}"
47,2,18,Salesforce,2026-06-16,failed,2232,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1954, ""error_code"": ""mapping_error""}"
48,2,19,Waterfall,2026-06-25,completed,2254,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2180, ""error_code"": null}"
49,2,19,Salesforce,2026-06-25,completed,1954,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1984, ""error_code"": null}"
50,2,19,LinkedIn Sales Navigator,2026-06-25,completed,2476,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1299, ""error_code"": null}"
51,2,19,Apollo,2026-06-25,completed,1370,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1205, ""error_code"": null}"
52,3,20,Apollo,2026-04-17,failed,838,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1492, ""error_code"": ""timeout""}"
53,3,20,HubSpot,2026-04-17,failed,2244,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 958, ""error_code"": ""timeout""}"
54,3,20,Waterfall,2026-04-17,failed,936,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 2183, ""error_code"": ""rate_limit""}"
55,3,21,Apollo,2026-05-24,failed,2316,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1396, ""error_code"": ""mapping_error""}"
56,3,21,Claygent,2026-05-24,failed,567,"{""provider_category"": ""AI"", ""response_time_ms"": 2210, ""error_code"": ""timeout""}"
57,3,22,Waterfall,2026-05-08,completed,2355,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1444, ""error_code"": null}"
58,3,23,HubSpot,2026-05-19,completed,914,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1283, ""error_code"": null}"
59,4,24,LinkedIn Sales Navigator,2026-06-05,completed,2406,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 284, ""error_code"": null}"
60,4,24,Apollo,2026-06-05,completed,1153,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 364, ""error_code"": null}"
61,4,24,Claygent,2026-06-05,completed,767,"{""provider_category"": ""AI"", ""response_time_ms"": 2127, ""error_code"": null}"
62,4,25,Apollo,2026-06-02,failed,1400,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1886, ""error_code"": ""mapping_error""}"
63,4,25,Salesforce,2026-06-02,failed,2079,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1380, ""error_code"": ""mapping_error""}"
64,4,25,Claygent,2026-06-02,failed,1690,"{""provider_category"": ""AI"", ""response_time_ms"": 2453, ""error_code"": ""timeout""}"
65,4,26,LinkedIn Sales Navigator,2026-05-30,completed,883,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1293, ""error_code"": null}"
66,4,26,OpenAI,2026-05-30,completed,2299,"{""provider_category"": ""AI"", ""response_time_ms"": 736, ""error_code"": null}"
67,4,26,Salesforce,2026-05-30,completed,1229,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 1994, ""error_code"": null}"
68,4,27,HubSpot,2026-05-01,completed,531,"{""provider_category"": ""Data Provider"", ""response_time_ms"": 830, ""error_code"": null}"
