plan_change_id,customer_id,changed_at,old_plan_tier,new_plan_tier,change_type,plan_change_metadata
1,3,2026-07-05,Free,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
2,7,2026-06-02,Free,Pro,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
3,12,2026-05-25,Explorer,Enterprise,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
4,18,2026-06-02,Pro,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
5,25,2026-04-06,Pro,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
6,27,2026-04-25,Free,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
7,42,2026-06-09,Pro,Enterprise,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
8,51,2026-06-27,Starter,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
9,53,2026-03-26,Pro,Enterprise,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
10,55,2026-04-29,Starter,Pro,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
11,61,2026-03-24,Explorer,Enterprise,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
12,63,2026-03-30,Explorer,Enterprise,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
13,65,2026-04-12,Explorer,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
14,69,2026-04-20,Pro,Free,churn,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
15,79,2026-06-20,Starter,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
16,84,2026-06-05,Pro,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
17,89,2026-06-29,Starter,Pro,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
18,91,2026-07-07,Explorer,Free,churn,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
19,93,2026-03-18,Explorer,Enterprise,upgrade,"{""reason"": ""high_usage_and_pipeline_generated"", ""influenced_by"": ""activation_velocity""}"
20,97,2026-04-26,Starter,Free,churn,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
21,100,2026-06-18,Starter,Free,downgrade,"{""reason"": ""low_activation_or_credit_confusion"", ""support_escalation"": true}"
