usage_transaction_id,customer_id,event_timestamp,usage_type,usage_category,units_consumed,related_event_id,usage_metadata
1,1,2026-03-07,action,crm_sync,1749,5,"{""workflow_run_id"": 1, ""source"": ""workflow_execution""}"
2,1,2026-03-07,data_credit,ai_research,765,5,"{""workflow_run_id"": 1, ""source"": ""data_provider_or_ai""}"
3,1,2026-03-12,action,personalized_outbound,975,10,"{""workflow_run_id"": 2, ""source"": ""workflow_execution""}"
4,1,2026-03-12,data_credit,enrichment,430,10,"{""workflow_run_id"": 2, ""source"": ""data_provider_or_ai""}"
5,1,2026-03-20,action,waterfall_enrichment,2492,15,"{""workflow_run_id"": 3, ""source"": ""workflow_execution""}"
6,1,2026-03-20,data_credit,waterfall,508,15,"{""workflow_run_id"": 3, ""source"": ""data_provider_or_ai""}"
7,1,2026-05-05,action,personalized_outbound,936,20,"{""workflow_run_id"": 4, ""source"": ""workflow_execution""}"
8,1,2026-05-05,data_credit,waterfall,705,20,"{""workflow_run_id"": 4, ""source"": ""data_provider_or_ai""}"
9,1,2026-04-08,action,ai_account_research,1894,25,"{""workflow_run_id"": 5, ""source"": ""workflow_execution""}"
10,1,2026-04-08,data_credit,waterfall,576,25,"{""workflow_run_id"": 5, ""source"": ""data_provider_or_ai""}"
11,1,2026-04-06,action,personalized_outbound,2577,28,"{""workflow_run_id"": 6, ""source"": ""workflow_execution""}"
12,1,2026-04-06,data_credit,waterfall,235,28,"{""workflow_run_id"": 6, ""source"": ""data_provider_or_ai""}"
13,1,2026-04-11,action,crm_sync,2334,33,"{""workflow_run_id"": 7, ""source"": ""workflow_execution""}"
14,1,2026-04-11,data_credit,ai_research,56,33,"{""workflow_run_id"": 7, ""source"": ""data_provider_or_ai""}"
15,1,2026-05-12,action,ai_account_research,834,38,"{""workflow_run_id"": 8, ""source"": ""workflow_execution""}"
16,1,2026-05-12,data_credit,ai_research,774,38,"{""workflow_run_id"": 8, ""source"": ""data_provider_or_ai""}"
17,1,2026-04-20,action,ai_account_research,1241,43,"{""workflow_run_id"": 9, ""source"": ""workflow_execution""}"
18,1,2026-04-20,data_credit,ai_research,91,43,"{""workflow_run_id"": 9, ""source"": ""data_provider_or_ai""}"
19,2,2026-04-30,action,personalized_outbound,1062,46,"{""workflow_run_id"": 10, ""source"": ""workflow_execution""}"
20,2,2026-04-30,data_credit,ai_research,708,46,"{""workflow_run_id"": 10, ""source"": ""data_provider_or_ai""}"
21,2,2026-05-02,action,lead_enrichment,536,51,"{""workflow_run_id"": 11, ""source"": ""workflow_execution""}"
22,2,2026-05-02,data_credit,enrichment,455,51,"{""workflow_run_id"": 11, ""source"": ""data_provider_or_ai""}"
23,2,2026-04-26,action,personalized_outbound,1926,54,"{""workflow_run_id"": 12, ""source"": ""workflow_execution""}"
24,2,2026-04-26,data_credit,waterfall,182,54,"{""workflow_run_id"": 12, ""source"": ""data_provider_or_ai""}"
25,2,2026-06-03,action,ai_account_research,430,59,"{""workflow_run_id"": 13, ""source"": ""workflow_execution""}"
26,2,2026-06-03,data_credit,enrichment,161,59,"{""workflow_run_id"": 13, ""source"": ""data_provider_or_ai""}"
27,2,2026-05-03,action,ai_account_research,2053,64,"{""workflow_run_id"": 14, ""source"": ""workflow_execution""}"
28,2,2026-05-03,data_credit,ai_research,26,64,"{""workflow_run_id"": 14, ""source"": ""data_provider_or_ai""}"
29,2,2026-05-12,action,waterfall_enrichment,655,69,"{""workflow_run_id"": 15, ""source"": ""workflow_execution""}"
30,2,2026-05-12,data_credit,enrichment,492,69,"{""workflow_run_id"": 15, ""source"": ""data_provider_or_ai""}"
31,2,2026-04-10,action,ai_account_research,2644,74,"{""workflow_run_id"": 16, ""source"": ""workflow_execution""}"
32,2,2026-04-10,data_credit,enrichment,176,74,"{""workflow_run_id"": 16, ""source"": ""data_provider_or_ai""}"
33,2,2026-04-20,action,personalized_outbound,2470,79,"{""workflow_run_id"": 17, ""source"": ""workflow_execution""}"
34,2,2026-04-20,data_credit,ai_research,46,79,"{""workflow_run_id"": 17, ""source"": ""data_provider_or_ai""}"
35,2,2026-06-16,action,waterfall_enrichment,1617,82,"{""workflow_run_id"": 18, ""source"": ""workflow_execution""}"
36,2,2026-06-16,data_credit,waterfall,90,82,"{""workflow_run_id"": 18, ""source"": ""data_provider_or_ai""}"
37,2,2026-06-25,action,waterfall_enrichment,454,87,"{""workflow_run_id"": 19, ""source"": ""workflow_execution""}"
38,2,2026-06-25,data_credit,ai_research,305,87,"{""workflow_run_id"": 19, ""source"": ""data_provider_or_ai""}"
39,3,2026-04-17,action,waterfall_enrichment,2514,90,"{""workflow_run_id"": 20, ""source"": ""workflow_execution""}"
