workflow_run_id,customer_id,user_id,workflow_id,started_at,completed_at,run_status,run_metadata
1,1,1,wf_1_1,2026-03-07,2026-03-07 02:00:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""lead_enrichment"", ""records_input"": 1240}"
2,1,4,wf_1_2,2026-03-12,2026-03-12 00:36:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""lead_enrichment"", ""records_input"": 1828}"
3,1,3,wf_1_3,2026-03-20,2026-03-20 00:53:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 1268}"
4,1,1,wf_1_4,2026-05-05,2026-05-05 00:25:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""lead_enrichment"", ""records_input"": 380}"
5,1,3,wf_1_5,2026-04-08,2026-04-08 00:35:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 1395}"
6,1,1,wf_1_6,2026-04-06,,failed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 2817}"
7,1,4,wf_1_7,2026-04-11,2026-04-11 00:31:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""crm_enrichment"", ""records_input"": 308}"
8,1,1,wf_1_8,2026-05-12,2026-05-12 01:15:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""crm_enrichment"", ""records_input"": 1593}"
9,1,3,wf_1_9,2026-04-20,2026-04-20 01:47:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 2972}"
10,2,10,wf_2_1,2026-04-30,,failed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 2004}"
11,2,5,wf_2_2,2026-05-02,2026-05-02 01:48:00,completed,"{""workflow_category"": ""lead_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2046}"
12,2,8,wf_2_3,2026-04-26,,failed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""account_research"", ""records_input"": 2383}"
13,2,10,wf_2_4,2026-06-03,2026-06-03 01:02:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""crm_enrichment"", ""records_input"": 2235}"
14,2,5,wf_2_5,2026-05-03,2026-05-03 00:54:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""personalized_outbound"", ""records_input"": 1769}"
15,2,9,wf_2_6,2026-05-12,2026-05-12 01:41:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 2099}"
16,2,8,wf_2_7,2026-04-10,2026-04-10 00:38:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""crm_enrichment"", ""records_input"": 1482}"
17,2,6,wf_2_8,2026-04-20,2026-04-20 01:05:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""personalized_outbound"", ""records_input"": 2965}"
18,2,8,wf_2_9,2026-06-16,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""lead_enrichment"", ""records_input"": 411}"
19,2,8,wf_2_10,2026-06-25,2026-06-25 00:48:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""account_research"", ""records_input"": 1875}"
20,3,13,wf_3_1,2026-04-17,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 2354}"
21,3,13,wf_3_2,2026-05-24,,failed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 1578}"
22,3,11,wf_3_3,2026-05-08,2026-05-08 01:06:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""crm_enrichment"", ""records_input"": 2056}"
23,3,12,wf_3_4,2026-05-19,2026-05-19 01:42:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""personalized_outbound"", ""records_input"": 1945}"
24,4,17,wf_4_1,2026-06-05,2026-06-05 01:34:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""personalized_outbound"", ""records_input"": 1893}"
25,4,17,wf_4_2,2026-06-02,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 473}"
26,4,17,wf_4_3,2026-05-30,2026-05-30 00:46:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""account_research"", ""records_input"": 2793}"
27,4,17,wf_4_4,2026-05-01,2026-05-01 01:25:00,completed,"{""workflow_category"": ""ai_account_research"", ""template_used"": ""lead_enrichment"", ""records_input"": 1372}"
28,4,15,wf_4_5,2026-06-20,2026-06-20 01:51:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 2357}"
29,4,15,wf_4_6,2026-06-05,2026-06-05 01:52:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 2306}"
30,4,15,wf_4_7,2026-06-09,2026-06-09 01:56:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""personalized_outbound"", ""records_input"": 162}"
31,4,16,wf_4_8,2026-07-20,2026-07-20 00:15:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 2667}"
32,4,15,wf_4_9,2026-05-10,2026-05-10 01:01:00,completed,"{""workflow_category"": ""crm_sync"", ""template_used"": ""account_research"", ""records_input"": 1428}"
33,4,16,wf_4_10,2026-05-27,2026-05-27 01:04:00,completed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""account_research"", ""records_input"": 2005}"
34,4,16,wf_4_11,2026-06-04,,failed,"{""workflow_category"": ""waterfall_enrichment"", ""template_used"": ""account_research"", ""records_input"": 2418}"
35,4,16,wf_4_12,2026-05-20,2026-05-20 00:30:00,completed,"{""workflow_category"": ""personalized_outbound"", ""template_used"": ""crm_enrichment"", ""records_input"": 773}"
